Study ID,Citation,Sampling_year,SAR_type,Island_Type,Lat,Lon,Study location,Ecoregion,Number of islands/patches in study,Min_A,Max_A,Range(order of magnitude),Total species richness on islands ,Total species richness on islands and mianland,Sampling Method,Number of Sampling Methods,Z,Std. Error,R2,Signifcant?,Notes,z_origin
19,Morrison 1997,1996,Insular,Mixed,-17.613219,-149.53079,Polynesian islands,Oceania,13,2600000,316000000,2.084713735,38,,Hand Collecting,1,0.21,0.15,0.06,N,,self
20a,Wilson _Talor_1967,,Insular,Oceanic,-17.613219,-149.530786,Polynesian islands,Oceania,,,,,38,,,,0.22,,,,tramp species on polynesian islands,paper
20b,Wilson _Talor_1967,,Insular,Oceanic,-9.155282,159.799091,Solomon Islands,Oceania,,,,,83,,,,0.14,,,,Native ant species of solommon islands,paper
22,Terayama & Murata 1987 (from Drakare's review),,Insular,Oceanic,34.523924,139.280467,"Toshima Island, Izu Islands",Palearctic,,,,,,,,,0.07,,,,"can't find actual paper, just slope value",paper
23,Suarez et al. 1998,,Mainland,Habitat-patches,32.804543,-117.066751,San Diego County,Nearctic,40,4000,1016100,2.40487646,50,,"Pitfall, visual surveys",2,0.39,0.06,0.5,Y,,self
24,Wetter et al. 2002,,Insular,Continental,24.6333,-82.8749,Dry tortugas,Neotropic,5,8000,260000,1.511883361,17,,"Baits, Literature review",1,0.28,0.15,0.39,N,,self
25,Wetterer et al. 2007,,Insular,Oceanic,32.733338,-16.918018,Madeiran Archipelago,Palearctic,4,2730000,741000000,2.433655561,27,,Lit review,0,0.43,0.1,0.84,N,,self
26,Baroni-Urbani 1978 cited in wilson's west indies book,,Insular,Continental,42.772158,10.254031,Toscane archipelago,Palearctic,21,,,,,,,,0.23,,0.74,,,paper
27,Cole 1983,,Insular,Continental,24.606084,-81.590183,"Mangrone islands, florida keys, small islands in sugarloaf key, saddlebrunch keys, big coppitt keys",Neotropic,81,0.3,877,,5,,hand,1,0.21,,0.9,,cole's measurements were in volume not area,paper
28,Dauber et al. 2006,,Mainland,Habitat-patches,59.410957,17.194889,"Selaon, Sweden",Palearctic,,1800,89600,1.697035505,23,,Pitfall,1,-0.04,,0.3,,,paper
29,Terayama 1992,,Insular,Oceanic,33.5,132,East Asia,Palearctic,4,,36000000000,79000000000,79000000000,,,,-0.33,0.54,-0.25,N,"you got these valuees from choi who reefereenceed terayama 1992, huge latitduninal gradient",self
30a,Sanders_2002,,Mainland,Habitat-patches,39.276488,-110.570176,Western United States,Nearctic,3,,,,,,,,0.896,,0.75,Y,,paper
30b,Sanders_2002,,Mainland,Habitat-patches,39.276488,-110.570176,Western United States,Nearctic,3,,,,,,,,0.402,,0.71,Y,,paper
30c,Sanders_2002,,Mainland,Habitat-patches,39.276488,-110.570176,Western United States,Nearctic,3,,,,,,,,0.523,,0.53,Y,,paper
31,Sugiura,,Insular,Oceanic,27.069369,142.216814,Japan,Palearctic,5,490000,23990000,1.689834168,23,,,,0.17,0.03,0.86,Y,,paper
32,Leal et al. 2012,,Mainland,Habitat-patches,-8.866667,-35.866667,"Brazil, Usina Serra Grande",Neotropic,19,101700,35000000,2.536747091,146,,Leaf litter,1,0.05,0.03,0.1,N,,self
